Avengers: Age of Ultron,"Robert Downey Jr., Chris Evans, Mark Ruffalo"
Ant-Man,"Paul Rudd, Michael Douglas, Corey Stoll"
Captain America: The Winter Soldier,"Chris Evans, Samuel L. Jackson, Scarlett Johansson"
Guardians of the Galaxy,"Chris Pratt, Vin Diesel, Bradley Cooper"
Iron Man 3,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow"
The Avengers,"Robert Downey Jr., Chris Evans, Scarlett Johansson"
Captain America: The First Avenger,"Chris Evans, Hugo Weaving, Samuel L. Jackson"
Iron Man 2,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow"
Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard"
Spider-Man,"Tobey Maguire, Kirsten Dunst, Willem Dafoe"
